Имя вулкана;Северная широта;С.Ш (минуты);Восточная долгота;В.Д (минуты);1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135
стена;;;;;0;1;1;0;1;1;1;1;0;0;0;0;0;1;0;;0;1;1;1;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;;0;0;;0;0;0;1;;0;;0;1;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;0;0;0;1;1;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
шивелуч;56;38;161;19;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;;0;1;1;1;1;0;1;1;0;1;0;0;1;1;0;1;1;1;0;0;0;0;0;1;1;0;1;1;0;;1;1;;1;1;1;0;;1;;0;0;1;0;0;0;0;1;0;0;0;0;;;;;;;;;;0;0;0;1;1;1;0;1;0;1;0;1;1;1;0;0;1;1;0;1;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
белянкина;53;56;159;25;0;1;1;0;0;1;0;0;0;0;0;0;0;1;1;;0;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1;;0;;0;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
однобокий;53;57;159;28;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;;0;1;1;1;1;0;1;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;;0;0;;0;0;0;1;;0;;0;1;0;0;0;0;0;0;1;0;1;0;;;;;;;;;;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
березовый;54;0;159;20;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;;0;1;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;;0;0;;0;0;0;1;;0;;1;0;0;0;1;0;0;0;1;0;0;0;;;;;;;;;;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
разлатый;;;;;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;;0;1;1;1;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1;;0;;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
плато озерная камчатка;;;;;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;;0;1;1;1;0;0;1;1;1;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;;0;;1;0;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;1;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;1;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
жупановские востряки;53;47;159;18;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;;0;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;0;0;;0;0;0;0;;0;;0;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;0;0;0;1;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
зимины сопки;55;52;160;37;0;1;1;1;1;0;0;0;0;1;0;0;0;1;0;;0;1;1;1;0;0;1;1;1;1;0;1;0;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;;1;1;;0;0;0;0;;0;;0;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;0;0;0;1;1;1;1;0;0;1;1;1;0;1;0;0;0;0;0;1;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
шиш;55;45;161;10;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;;0;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;0;;1;1;;0;0;0;0;;1;;0;0;1;0;1;1;0;0;0;0;0;0;;;;;;;;;;0;0;0;0;1;1;1;0;0;1;0;1;0;1;0;0;0;1;0;1;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
асхачный увал;52;21;157;49;1;1;1;0;0;0;0;0;0;1;0;0;0;1;0;;0;1;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;1;;0;0;;0;0;0;1;;0;;1;0;0;0;1;0;0;0;0;0;0;0;;;;;;;;;;1;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;1;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
прибрежный северный;58;17;160;52;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;;0;1;1;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1;;0;;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
прибрежный юнжный\;54;10;159;30;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;;0;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1;;0;;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
плотина;55;55;160;33;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;;1;1;;1;1;0;0;;1;;0;0;1;0;0;1;0;0;0;0;0;0;;;;;;;;;;0;0;0;0;0;1;1;0;1;1;1;0;1;1;0;0;0;0;0;1;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
острый и плоский;55;50;160;20;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;;0;1;1;1;0;0;1;1;0;0;0;1;0;1;1;1;0;1;1;1;0;0;0;0;1;1;0;0;0;;0;0;;0;0;0;1;;0;;1;0;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;0;0;1;0;1;0;1;1;1;1;0;1;1;1;1;0;0;1;0;0;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ареальные шлаковые конусы ключевской группы;;;;;1;1;1;0;0;0;0;0;0;1;0;1;0;0;1;;0;1;0;1;0;0;0;1;1;1;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;;0;0;;0;0;1;1;;0;;1;0;0;0;1;0;0;0;0;0;0;0;;;;;;;;;;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;1;0;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
пракарымский;;;;;0;0;1;1;1;1;0;0;0;0;0;0;0;1;0;;0;1;1;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;;0;0;;0;0;0;0;;1;;0;1;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
крайний;56;22;159;2;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;;0;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;;0;;0;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;0;0;0;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;0;0;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
половинка;53;59;159;28;0;1;1;1;1;1;1;0;0;0;0;0;0;1;1;;0;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;;0;0;;0;0;0;1;;0;;0;1;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
соболиный;54;9;159;27;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;;0;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;;0;0;;0;0;0;1;;0;;1;0;0;0;1;0;0;0;1;0;0;0;;;;;;;;;;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;0;1;0;0;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
николка;55;21;159;51;1;1;1;0;0;0;0;0;0;1;0;1;1;1;0;;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1;;0;;0;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;1;0;0;1;0;0;1;0;1;1;1;1;0;0;1;1;0;1;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
